country,population,percent_world,date,source
Cayman Islands(UK),84738,0.001,2023-12-31,National annual projection[219]
Isle of Man(UK),84530,0.001,2023-04-01,Official estimate[220]
Dominica,67408,0.0008,2017-12-31,Official estimate[221]
Guernsey(UK),64781,0.0008,2023-12-31,National quarterly estimate[222]
Bermuda(UK),64055,0.0008,2021-07-01,National annual projection[223]
Greenland(Denmark),56542,0.0007,2025-01-01,National quarterly estimate[224]
South Ossetia,56520,0.0007,2021-12-31,Official estimate[225]
Faroe Islands(Denmark),54870,0.0007,2025-11-01,Monthly national estimate[226]
Saint Kitts and Nevis,51320,0.0006,,2022 census result[227]
Turks and Caicos Islands(UK),50828,0.0006,2024-07-01,Official estimate[228]
American Samoa(US),49710,0.0006,2020-04-01,2020 census result[229]
Northern Mariana Islands(US),47329,0.0006,2020-04-01,2020 census result[230]
Marshall Islands,42418,0.0005,2021-09-30,2021 Census[231]
Sint Maarten(Netherlands),41349,0.0005,2024-01-01,Official estimate[232]
Liechtenstein,40886,0.0005,2024-12-31,National estimate[233]
British Virgin Islands(UK),39471,0.0005,2024-07-01,UN projection[234]
Monaco,38423,0.0005,2024-12-31,Census[235]
Gibraltar(UK),38196,0.0005,2022-11-14,Preliminary census results[236]
San Marino,34154,0.0004,2025-10-31,Monthly national estimate[237]
Saint Martin(France),31496,0.0004,2025-01-01,Official estimate[238]
Palau,16733,0.0002,2021-07-01,2021 Census[239]
Anguilla(UK),16010,0.0002,2024-12-31,Official estimate[240]
Cook Islands(New Zealand),15040,0.0002,2021-07-01,2021 Census[241]
Nauru,11680,0.0001,2021-10-30,2021 Census[242]
Wallis and Futuna(France),11620,0.0001,2023-07-24,2023 Census[243]
Tuvalu,10643,0.0001,2022-12-12,2022 Census[244]
Saint Barthélemy(France),10562,0.0001,2025-01-01,Official estimate[238]
Saint Pierre and Miquelon(France),5819,0.0,2025-01-01,Official estimate[238]
"Saint Helena, Ascension and Tristan da Cunha(UK)",5651,0.0,2021-07-01,2021 Census[245][246][247]
Montserrat(UK),4386,0.0,2023-09-23,2023 census result[248]
Falkland Islands(UK),3662,0.0,2021-10-10,2021 census result[249]
Tokelau(New Zealand),2608,0.0,2025-01-01,2025 Census[250]
Norfolk Island(Australia),2188,0.0,2021-01-01,2021 Census[251]
Christmas Island(Australia),1692,0.0,2021-01-01,2021 Census[252]
Niue(New Zealand),1681,0.0,2022-11-11,2022 Census[253]
Vatican City,882,0.0,2024-12-31,Official figure[254]
Cocos (Keeling) Islands(Australia),593,0.0,2020-06-30,2021 Census[255]
Pitcairn Islands(UK),35,0.0,2023-07-01,Official estimate[256]
